A,B,C,D,E,F,H,J,M
0,Afghanistan,3.0,1,1,0,1,1,0,0
1,Albania,7.0,1,1,1,1,1,0,1
2,Algeria,5.0,1,1,0,1,1,0,0
3,Angola,4.0,1,1,0,1,1,1,0
4,Antigua and Barbuda,7.5,1,1,1,1,1,1,0
5,Argentina,4.0,1,1,0,1,1,1,0
6,Armenia,7.0,1,1,1,1,1,1,1
7,Australia,5.5,1,1,1,1,1,0,0
8,Austria,5.0,1,1,0,1,1,0,0
9,Azerbaijan,7.5,1,1,0,1,1,1,1
10,Bahrain,6.0,1,1,0,1,1,1,0
12,Bangladesh - Dhaka,3.0,1,1,0,1,1,0,0
13,Barbados,4.5,1,1,1,1,1,0,0
14,Belarus,8.0,1,1,1,1,1,1,1
15,Belgium,6.0,1,1,0,1,1,1,0
16,Belize,3.5,1,0,0,1,1,0,0
17,Benin,4.0,1,1,0,1,1,0,0
18,Bhutan,6.0,1,0,0,1,1,1,0
19,Bolivia,3.5,1,0,0,1,1,0,0
20,Bosnia and Herzegovina,5.5,1,1,1,1,1,0,0
21,Botswana,3.0,0,0,0,1,1,0,0
22,Brazil - Rio de Janeiro,3.5,1,0,0,1,1,0,0
23,Brunei Darussalam,4.5,1,1,0,1,1,1,1
24,Bulgaria,5.0,1,1,0,1,1,1,0
25,Burkina Faso,6.5,1,1,1,1,1,1,0
26,Burundi,3.5,1,0,0,1,1,0,0
27,Cabo Verde,5.0,1,1,0,1,1,1,0
28,Cambodia,5.0,1,1,0,1,1,0,0
29,Cameroon,3.5,1,0,0,1,1,0,0
30,Canada,5.5,1,1,1,1,1,0,0
31,Chad,4.5,1,0,0,1,1,1,0
32,Chile,5.5,1,1,1,1,1,1,0
33,China - Shanghai,8.0,1,1,1,1,1,1,1
34,Colombia,5.0,1,1,0,1,1,1,0
35,Comoros,5.0,1,1,0,1,1,0,0
36,Costa Rica,5.0,1,1,0,1,1,1,0
37,Côte d'Ivoire,6.0,1,1,0,1,1,0,0
38,Croatia,6.0,1,1,1,1,1,0,1
39,Cyprus,5.5,1,0,0,1,1,1,0
40,Denmark,6.5,1,1,1,1,1,0,0
41,Djibouti,2.5,1,0,0,1,1,0,0
42,Dominica,3.0,0,1,1,1,1,0,0
43,Dominican Republic,5.5,1,1,1,1,1,1,0
44,Ecuador,6.0,1,1,0,1,1,1,0
45,El Salvador,5.0,1,1,0,1,1,1,0
46,Equatorial Guinea,5.0,1,1,0,1,1,0,0
47,Eritrea,4.5,1,0,0,1,1,0,0
48,Estonia,7.5,1,1,0,1,1,1,1
49,Eswatini,6.0,1,1,0,1,1,1,0
50,Ethiopia,6.0,1,1,0,1,1,0,0
51,Fiji,6.0,1,1,0,1,1,1,0
52,Finland,7.5,1,1,1,1,1,1,0
53,France,6.0,1,1,0,1,1,1,0
54,Gabon,4.5,1,1,1,1,1,0,0
