"indicatorID";"indicatorLabel";"country_iso3";"countryLabel";"year";"value";"note"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"AGO";"Angola";"2015";"3";"PA cannot be part of community domain, and no occupation or use permitted, except in 'partial reserves' (excluding forest). Per cent of revenue for adjacent communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"AUS";"Australia";"2015";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"BFA";"Burkina Faso";"2015";"2";"Communities may establish & manage own protected areas and access national forests with provision for local forest committees as legal entities with management & use rights."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"BOL";"Bolivia";"2015";"1";"PIOC's land titling is possible on areas previously recognized as natural protected areas. Management is shared with the government and subject to the IP's customary rules."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"BRA";"Brazil";"2015";"2";"When the lands occupied by Quilombo communities overlap conservation units, the government has the duty to take necessary measures to ensure the livelihoods and sustainability of the community while preserving the objective of the conservation unit."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"BWA";"Botswana";"2015";"3";"National Parks & most Wildlife Reserves are state property; no legal obligation to respect customary right. Individuals & entities may lease tribal land in Wildlife Management Area to obtain exclusive use rights."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"CAN";"Canada";"2015";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"COD";"Democratic Republic of the Congo";"2015";"N/A";"N/A"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"COL";"Colombia";"2015";"2";"Use of natural resources for traditional activities and general enjoyment are permitted and compatible with Protected Areas and Forest Reserves. State promotes community participation in management activities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"DZA";"Algeria";"2015";"4";"No rights in National Parks available."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"GRL";"Greenland";"2015";"N/A";"Community land is a subject-matter which is not recognized by Greenlandic law."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"IDN";"Indonesia";"2015";"3";"The business licenses and exploitation rights granted communities in forest areas covers activities of utilization, environmental services, collection of timber and non-timber forest products in protected forests."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"IND";"India";"2015";"2";"Scheduled Castes and traditional forest dwellers may protect, regenerate or conserve or manage any ""community forest resources"", which includes resources in protected areas. ""Community Forest Resource"" is defined broadly."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"KAZ";"Kazakhstan";"2015";"4";"Federal legislation only provides for government and private ownership rights. The laws are silent on community rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"KEN";"Kenya";"2015";"3";"Where provision for community owned protected areas, communities have rights of management and use, but community cannot own national level or local government level protected area and may access only in accordance with rules or contracts. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"LSO";"Lesotho";"2015";"1"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"MEX";"Mexico";"2015";"1";"Federal protected areas can contain land held under any tenure type and are divided into core zones and buffer zones. Buffer zones are designated for sustainable resource use, including use by ejidos/comunidades. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"MNG";"Mongolia";"2015";"4";"The Law on Special Protected Area and the Law on Land recognize citizens' rights to use land within special protected areas, but there are no explicit rights in these areas granted to communities. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"MWI";"Malawi";"2015";"2";"Provision is made for protected forests on customary land with full use rights but with rules to be approved by Minister. Creation of Reserves on Public Land require prior compulsory acquisition from community (limited compensation where no developments)."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"NAM";"Namibia";"2015";"2";"Other than for Community Forests and Conservancies where use is by specific agreement with community, all use of Protected Areas is by licence."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"PER";"Peru";"2015";"2";"Recognition of property and protection of traditional uses, self-determination and lifestyles. Limited to compatibility with the protected area's objectives."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"PHL";"Philippines";"2015";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SDN";"Sudan";"2015";"3";"Communities may control forests in locality of village subject to direction by Forest Corporation. Grazing permitted."
