"indicatorID";"indicatorLabel";"country_iso3";"countryLabel";"year";"value"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"AFG";"Afghanistan";"2016";"D"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"BDI";"Burundi";"2016";"B"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"BFA";"Burkina Faso";"2016";"A-C"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"CMR";"Cameroon";"2016";"A"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"COL";"Colombia";"2016";"A"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"ETH";"Ethiopia";"2016";"B"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"GIN";"Guinea";"2016";"D"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"GTM";"Guatemala";"2016";"B"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"HND";"Honduras";"2016";"A"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"IDN";"Indonesia";"2016";"D"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"KEN";"Kenya";"2016";"C"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"MLI";"Mali";"2016";"D"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"MOZ";"Mozambique";"2016";"A"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"PER";"Peru";"2016";"A"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"RWA";"Rwanda";"2016";"A-B"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"SLE";"Sierra Leone";"2016";"A"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"TZA";"Tanzania";"2016";"B"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"UGA";"Uganda";"2016";"B"
"WB-LGAF2016-1.1.1";"Rural land tenure rights (i) recognized and (ii) protected in practice";"VNM";"Vietnam";"2016";"B"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"AFG";"Afghanistan";"2016";"C"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"BDI";"Burundi";"2016";"C"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"BFA";"Burkina Faso";"2016";"A-C"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"ETH";"Ethiopia";"2016";"B"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"GIN";"Guinea";"2016";"C"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"GTM";"Guatemala";"2016";"C"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"IDN";"Indonesia";"2016";"C"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"KEN";"Kenya";"2016";"B"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"MLI";"Mali";"2016";"B"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"MOZ";"Mozambique";"2016";"B"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"SLE";"Sierra Leone";"2016";"B"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"TZA";"Tanzania";"2016";"B"
"WB-LGAF2016-1.1.2";"Customary tenure rights are (i) recognized and (ii) protected in practice";"UGA";"Uganda";"2016";"B"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"AFG";"Afghanistan";"2016";"C"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"BDI";"Burundi";"2016";"D"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"GIN";"Guinea";"2016";"C"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"GTM";"Guatemala";"2016";"C"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"HND";"Honduras";"2016";"A"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"IDN";"Indonesia";"2016";"C"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"KEN";"Kenya";"2016";"C"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"MLI";"Mali";"2016";"B"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"MOZ";"Mozambique";"2016";"B"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"PER";"Peru";"2016";"B"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"RWA";"Rwanda";"2016";"C"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"SLE";"Sierra Leone";"2016";"B"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"UGA";"Uganda";"2016";"D"
"WB-LGAF2016-1.1.3";"Indigenous rights to land & forest are (i) recognized and (ii) protected in practice";"VNM";"Vietnam";"2016";"C"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"AFG";"Afghanistan";"2016";"D"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"BDI";"Burundi";"2016";"B"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"BFA";"Burkina Faso";"2016";"A-C"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"CMR";"Cameroon";"2016";"A"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"COL";"Colombia";"2016";"A"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"ETH";"Ethiopia";"2016";"B"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"GIN";"Guinea";"2016";"D"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"GTM";"Guatemala";"2016";"A"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"HND";"Honduras";"2016";"A"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"IDN";"Indonesia";"2016";"D"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"KEN";"Kenya";"2016";"D"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"MLI";"Mali";"2016";"B"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"MOZ";"Mozambique";"2016";"A-B"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"PER";"Peru";"2016";"A"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"RWA";"Rwanda";"2016";"B"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"SLE";"Sierra Leone";"2016";"B"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"TZA";"Tanzania";"2016";"B"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"UGA";"Uganda";"2016";"B"
"WB-LGAF2016-1.1.4";"Urban land tenure rights are (i) recognized and (ii) protected in practice";"VNM";"Vietnam";"2016";"B"
"WB-LGAF2016-1.2.1";"Accessible opportunities for tenure individualization exist";"AFG";"Afghanistan";"2016";"C"
"WB-LGAF2016-1.2.1";"Accessible opportunities for tenure individualization exist";"BDI";"Burundi";"2016";"C"
"WB-LGAF2016-1.2.1";"Accessible opportunities for tenure individualization exist";"BFA";"Burkina Faso";"2016";"C"
"WB-LGAF2016-1.2.1";"Accessible opportunities for tenure individualization exist";"CMR";"Cameroon";"2016";"C"
"WB-LGAF2016-1.2.1";"Accessible opportunities for tenure individualization exist";"COL";"Colombia";"2016";"C-D"
"WB-LGAF2016-1.2.1";"Accessible opportunities for tenure individualization exist";"ETH";"Ethiopia";"2016";"A-D"
"WB-LGAF2016-1.2.1";"Accessible opportunities for tenure individualization exist";"GIN";"Guinea";"2016";"C"
"WB-LGAF2016-1.2.1";"Accessible opportunities for tenure individualization exist";"GTM";"Guatemala";"2016";"B"
"WB-LGAF2016-1.2.1";"Accessible opportunities for tenure individualization exist";"HND";"Honduras";"2016";"C"
