Landgrabbed	Landgrabber	Base	Sector	Hectares	Production	Projected investment	Status of deal	Summary
Algeria	Al Qudra	UAE	Finance, real estate	31,000	Milk, olive oil, potatoes		Done	Al Qudra Holding is a joint-stock company established in Abu Dhabi in 2005. In February 2008, the company told Le Matin that it had acquired concessions covering 31,000 ha of agricultural lands in Algeria where it intends to produce potatoes, olives and dairy. It also said that it was planning to set up a joint venture with Moroccan investors to produce olive oil on 14,000 ha in Morocco. In September 2009, The National reported that Al Qudra was considering buying land in Pakistan, Syria, Vietnam, Sudan and India to increase its land holdings to 400,000 ha.
Angola	CAMC Engineering Co. Ltd	China	Construction	1,500	Rice	US$77 million	Done 	CAMCE is a subsidiary of the China National Machinery Industry Corporation. In April 2011, the Angolan Press Agency reported that the Angolan government had approved CAMCE's proposed project to construct a rice mill in Longa and establish a 1,500-ha pilot rice farm in the area. China National Development Bank will be providing CAMCE with a credit line for the project.
Angola	ENI	Italy	Energy	12,000	Oil palm		In process	The project is a joint venture between Sonangol, an Angolan state-owed company responsible for the exploration, production and transportation of hydrocarbons in Angola, and ENI, one of the world's largest oil companies. In December 2011, the two companies signed an agreement for the execution of a pilot project in food and biodiesel production.
Angola	AfriAgro	Portugal	Finance, real estate	5,000	Oil palm	US$30-35 million	Done	AfriAgro is a subsidiary of the Portugal-based Atlantica Group. The company acquired a 50-year lease on 5,000 ha of land near the city of Ambriz in Bengo Province, Mozambique. It intends to expand to 20,000 ha. 
Angola	Eurico Ferreira	Portugal	Energy, telecommunications 	30,000	Sugar cane	US$200 million	Done	In 2008, Portuguese conglomerate Eurico Ferreira's renewable energy subsidiary, Proef, announced that it was pursuing a US$200-million, 30,000-ha sugar-cane project in the Zaire Province of northern Angola. 
Angola	Quifel Natural Resources	Portugal	Agribusiness, energy	10,000	Oilseed		Done	Quifel Natural Resources is part of Portugal's Quifel Group, a holding company controlled by Portuguese aristocrat, businessman and amateur race car driver Miguel Maria de Sá Pais do Amaral, which is involved in multiple sectors, from insurance and real estate to agriculture and energy. Quifel began investing in farmland through the development of palm-oil production in Brazil. With land prices rising in Brazil, the company turned its attention to Africa in 2007, where it decided to focus on acquiring large land concessions in coastal East African countries for oilseeds and West African countries for fruit and vegetables. So far Quifel has acquired land in Mozambique, Angola and Sierra Leone. In Angola it has a concession for 10,000 ha with a further 30,000 ha awaiting government approval.
Angola	Lonrho	UK	Agribusiness	25,000	Rice		Done (50-yr lease)	In 2005, all that remained of Lonrho, once one of the largest foreign companies in Africa, was a hotel in Mozambique and £20 million in cash. Then David Lenigas became the new CEO and, with the support of the chairman Geoffrey White, an adviser to Qatari emir Sheikh Khalifa Al Thani, Lonhro launched a new wave of investments in Africa. The company took over hotels, airlines and infrastructure, but its focus is agribusiness. It now exports fish from Mozambique and runs a vertically integrated subsidiary that grows produce on farms in southern Africa for export to European supermarkets. Lonrho has recently been expanding its agricultural land holdings. In 2009, it acquired a 50-year lease for 25,000 ha of farmland in Angola, and commenced feasibility studies for 25,000 ha of agricultural land in Malawi and up to 100,000 ha in Mali. White says that the company will focus on horticulture. “We don’t think there’s risk in non-cereal farming. If there’s a famine, people won’t come after our green peppers.”
Argentina	Grupo Maggi	Brazil	Agribusiness	7,000	Soybeans  		Done	Grupo Maggi, controlled by Blairo Maggi, one of the world's largest soybean producers, with around 200,000 ha under production in Brazil, disclosed to Valor Económico in 2011 that it would be expanding outside Brazil, beginning with 7,000 ha in Argentina in 2011, and looking for opportunities in Africa and Colombia.
Argentina	Beidahuang	China	Agribusiness	320,000	Maize, soybeans, wheat	US$1,500 million	Suspended	State-owned Beidahuang is the largest farming company in China, managing over 2 million ha of farmland in the Province of Heilongjiang. Since 2008, the company has been expanding its farming operations overseas. In 2010, during a visit to China, the governor of Argentina's Río Negro province signed a US$1.4-million deal with Beidahuang that would give the company exclusive control over the supply of soybeans, maize and other crops for 20 years from farms covering an area of up to 320,000 ha. In November 2011, the superior court of the Province of Río Negro ruled that the project should be suspended, and there has been no public information on the status of the deal subsequent to a change in the provincial government in December 2011. Meanwhile, Beidahuang signed an agreement in 2011 with Cresud, the largest farming company in Argentina, to collaborate on the acquisition of farmland, mainly for soybean production, and it continues to pursue land deals in the Philippines and Australia.
Argentina	Ingleby Company	Denmark	Finance	12,433	Barley, maize, soybeans, sunflower, wheat		Done	The Ingleby Company, which is owned by the Rausing family, has farmland investments in Argentina, Romania, USA, Uruguay, New Zealand and Australia. 
