"indicatorID";"indicatorLabel";"country_iso3";"countryLabel";"year";"value"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"COD";"Democratic Republic of the Congo";"1990";"398400"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"UGA";"Uganda";"1991";"277693"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"BFA";"Burkina Faso";"1993";"74559"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"IDN";"Indonesia";"1993";"1790741"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"MWI";"Malawi";"1993";"501919"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"MAR";"Morocco";"1996";"66395"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"JOR";"Jordan";"1997";"2712"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"DOM";"Dominican Republic";"1998";"24772"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"LBN";"Lebanon";"1998";"13785"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"EGY";"Egypt";"1999";"236632"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"LAO";"Lao";"1999";"60600"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"SAU";"Saudi Arabia";"1999";"1868"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"SEN";"Senegal";"1999";"39597"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"ECU";"Ecuador";"2000";"213731"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"KNA";"Saint Kitts and Nevis";"2000";"849"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"LSO";"Lesotho";"2000";"103878"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"MOZ";"Mozambique";"2000";"708353"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"ZMB";"Zambia";"2000";"250710"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"CIV";"Ivory Coast";"2001";"111312"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"DZA";"Algeria";"2001";"41793"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"GIN";"Guinea";"2001";"47562"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"PAN";"Panama";"2001";"68152"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"VNM";"Vietnam";"2001";"5382"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"ARG";"Argentina";"2002";"32768"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"GMB";"Gambia";"2002";"5731"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"IRN";"Iran";"2002";"4989"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"KGZ";"Kyrgyzstan";"2002";"30254"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"LKA";"Sri Lanka";"2002";"285214"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"NPL";"Nepal";"2002";"271507"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"PHL";"Philippines";"2002";"516572"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"SRB";"Serbia";"2002";"141182"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"TZA";"Tanzania";"2002";"966076"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"BLZ";"Belize";"2003";"790"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"GTM";"Guatemala";"2003";"63627"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"MMR";"Myanmar";"2003";"519668"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"THA";"Thailand";"2003";"1585850"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"BWA";"Botswana";"2004";"17576"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"COM";"Comoros";"2004";"17094"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"CPV";"Cape Verde";"2004";"22461"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"GEO";"Georgia";"2004";"211800"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"TTO";"Trinidad and Tobago";"2004";"2802"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"MDG";"Madagascar";"2005";"371158"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"MLI";"Mali";"2005";"24636"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"MYS";"Malaysia";"2005";"94906"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"TUN";"Tunisia";"2005";"32980"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"BRA";"Brazil";"2006";"656255"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"CHL";"Chile";"2007";"80255"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"GUM";"Guam";"2007";"13"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"JAM";"Jamaica";"2007";"63690"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"LCA";"Saint Lucia";"2007";"2906"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"MEX";"Mexico";"2007";"640265"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"MNP";"Northern Mariana Islands";"2007";"30"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"NGA";"Nigeria";"2007";"1579341"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"PRI";"Puerto Rico";"2007";"1408"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"SLV";"El Salvador";"2007";"45676"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"ASM";"American Samoa";"2008";"1133"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"BGD";"Bangladesh";"2008";"1322937"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"HTI";"Haiti";"2008";"257670"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"VEN";"Venezuela";"2008";"80984"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"FJI";"Fiji";"2009";"2326"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"NIU";"Niue";"2009";"113"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"WSM";"Samoa";"2009";"5631"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"AUT";"Austria";"2010";"51780"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"BEL";"Belgium";"2010";"6450"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"BGR";"Bulgaria";"2010";"84350"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"CHE";"Switzerland";"2010";"3820"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"CYP";"Cyprus";"2010";"8010"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"CZE";"Czech Republic";"2010";"3450"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"DEU";"Germany";"2010";"25220"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"DNK";"Denmark";"2010";"3770"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"ESP";"Spain";"2010";"214380"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"EST";"Estonia";"2010";"7020"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"FIN";"Finland";"2010";"7100"
"FAO-LG.1FA";"Agricultural holders by sex (female - total n)";"FRA";"France";"2010";"117120"
