"indicatorID";"indicatorLabel";"country_iso3";"countryLabel";"year";"value"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"AFG";"Afghanistan";"2001";"5.66842"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"AUS";"Australia";"2001";"0.549923"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"AZE";"Azerbaijan";"2001";"29.9857"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"BHR";"Bahrain";"2001";"43.4783"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"BLR";"Belarus";"2001";"1.25986"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"CYP";"Cyprus";"2001";"25"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"DNK";"Denmark";"2001";"7.62332"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"DOM";"Dominican Republic";"2001";"8.90219"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"ESP";"Spain";"2001";"12.6253"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"ETH";"Ethiopia";"2001";"0.323472"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"FIN";"Finland";"2001";"2.88029"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"IND";"India";"2001";"32.2073"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"IRN";"Iran";"2001";"12.5676"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"ISR";"Israel";"2001";"31.5508"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"ITA";"Italy";"2001";"15.9399"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"JOR";"Jordan";"2001";"7.14286"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"JPN";"Japan";"2001";"35.4684"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"KEN";"Kenya";"2001";"0.0447111"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"KGZ";"Kyrgyzstan";"2001";"9.53044"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"MDA";"Moldova";"2001";"11.0673"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"MDG";"Madagascar";"2001";"2.17908"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"MOZ";"Mozambique";"2001";"0.0830259"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"NPL";"Nepal";"2001";"27.4243"
"WB-AG.LND.IRIG.AG.ZS";"Agricultural Irrigated Land (% Total Agricultural Land)";"PAK";"Pakistan";"2001";"48.1986"
